created_at,word
2020-02-23T04:15:45Z,endorsed
2020-02-23T04:15:45Z,clinteastwood
2020-02-23T04:15:45Z,trumpisanidiot
2020-02-23T04:15:45Z,bidenbounceback
2020-02-23T04:15:45Z,hold
2020-02-23T04:15:45Z,petewho
2020-02-23T04:15:45Z,elizabethhurley
2020-02-23T04:15:45Z,warren
2020-02-23T04:15:45Z,confusing
2020-02-23T04:15:45Z,saturdaynight
2020-02-23T04:15:45Z,pm
2020-02-23T04:15:45Z,bed
2020-02-23T03:51:12Z,elizabethwarren2020
2020-02-23T03:51:12Z,slagging
2020-02-23T03:51:12Z,michaelbloomberg
2020-02-23T03:51:12Z,he’s
2020-02-23T03:51:12Z,short
2020-02-23T03:51:12Z,that’s
2020-02-23T03:51:12Z,tone
2020-02-23T03:51:12Z,political
2020-02-23T03:51:12Z,debate
2020-02-23T03:51:12Z,election2020
2020-02-23T01:52:19Z,bob
2020-02-23T01:52:19Z,avakian
2020-02-23T01:52:19Z,ba
2020-02-23T01:52:19Z,radically
2020-02-23T01:52:19Z,bourgeois
2020-02-23T01:52:19Z,politicians
2020-02-23T01:52:19Z,constantly
2020-02-23T01:52:19Z,leaders
2020-02-23T01:52:19Z,berniesanders
2020-02-23T01:52:19Z,michaelbloomberg
2020-02-23T01:52:19Z,joebiden
2020-02-23T01:52:19Z,elizabethwarren
2020-02-23T01:52:19Z,communist
2020-02-23T01:52:19Z,leader
2020-02-23T01:52:19Z,bases
2020-02-23T01:52:19Z,scientific
2020-02-23T01:52:19Z,analysis
2020-02-23T01:52:19Z,reality
2020-02-23T01:37:47Z,starting
2020-02-23T01:37:47Z,berniesanders
2020-02-23T01:37:47Z,thwart
2020-02-23T01:37:47Z,upend
2020-02-23T01:37:47Z,tax
2020-02-23T01:37:47Z,battle
2020-02-23T01:37:47Z,billionaires
2020-02-23T01:37:47Z,michaelbloomberg
2020-02-23T01:37:47Z,versus
2020-02-23T01:37:47Z,donaldtrump
2020-02-23T01:37:47Z,berniesanders2020
2020-02-23T01:37:47Z,nevadacaucus2020
2020-02-23T00:38:00Z,time
2020-02-23T00:38:00Z,hear
2020-02-23T00:38:00Z,michaelbloomberg
2020-02-23T00:38:00Z,commercials
2020-02-23T00:38:00Z,yak
2020-02-23T00:38:00Z,relate
2020-02-23T00:38:00Z,regular
2020-02-23T00:38:00Z,people
2020-02-23T00:38:00Z,he’s
2020-02-23T00:38:00Z,billionaire
2020-02-23T00:38:00Z,world
2020-02-20T03:41:45Z,michaelbloomberg
2020-02-20T03:41:45Z,understand
2020-02-20T03:41:45Z,ordinary
2020-02-20T03:41:45Z,peeps
2020-02-20T03:41:45Z,demdebate
2020-02-20T03:41:45Z,democraticdebate
2020-02-17T02:05:48Z,michaelbloomberg
2020-02-17T02:05:48Z,selected
2020-02-17T02:05:48Z,democraticparty
2020-02-17T02:05:48Z,presidential
2020-02-17T02:05:48Z,candidate
2020-02-17T02:05:48Z,ready
2020-02-17T02:05:48Z,4
2020-02-17T02:05:48Z,donaldtrump
2020-02-23T00:21:08Z,michaelbloomberg
2020-02-23T00:21:08Z,won
2020-02-23T00:21:08Z,primary
2020-02-23T00:21:08Z,caucus
2020-02-23T00:21:08Z,noe
2020-02-23T00:21:08Z,nevadacaucuses
2020-02-20T03:22:48Z,michaelbloomberg
2020-02-20T03:22:48Z,wealth
2020-02-20T03:22:48Z,125
2020-02-20T03:22:48Z,million
2020-02-20T03:22:48Z,americans
2020-02-20T03:22:48Z,yeah
2020-02-20T03:22:48Z,half
2020-02-20T03:22:48Z,live
2020-02-20T03:22:48Z,demdebate
2020-02-20T03:29:36Z,christ
2020-02-20T03:29:36Z,michaelbloomberg
2020-02-20T03:29:36Z,remember
2020-02-20T03:29:36Z,president
2020-02-20T03:29:36Z,lol
2020-02-20T03:29:36Z,demdebate
2020-02-20T03:27:28Z,bernie
2020-02-20T03:27:28Z,winning
2020-02-20T03:27:28Z,proving
2020-02-20T03:27:28Z,democratic
2020-02-20T03:27:28Z,socialism
2020-02-20T03:27:28Z,popular
2020-02-20T03:27:28Z,popular
2020-02-20T03:27:28Z,michaelbloomberg
2020-02-20T03:27:28Z,demdebate
2020-02-20T03:19:05Z,michaelbloomberg
2020-02-20T03:19:05Z,giving
2020-02-20T03:19:05Z,grants
2020-02-20T03:19:05Z,yuppies
2020-02-20T03:19:05Z,minorities
2020-02-20T03:19:05Z,demdebate
2020-02-19T23:47:28Z,michaelbloomberg
2020-02-19T23:47:28Z,demdebates
2020-02-19T23:47:28Z,coz
2020-02-19T23:47:28Z,bought
2020-02-20T03:24:53Z,bernie
2020-02-20T03:24:53Z,michaelbloomberg
2020-02-20T03:24:53Z,demdebate
2020-02-20T03:54:07Z,michaelbloomberg
2020-02-20T03:54:07Z,mistaken
2020-02-20T03:54:07Z,gop
2020-02-20T03:54:07Z,debate
2020-02-20T03:54:07Z,calling
2020-02-20T03:54:07Z,bernie
2020-02-20T03:54:07Z,commie
2020-02-20T03:54:07Z,wait
2020-02-20T03:54:07Z,gop
2020-02-20T03:54:07Z,demdebate
2020-02-20T03:54:07Z,democraticdebate
2020-02-20T03:21:41Z,yeah
2020-02-20T03:21:41Z,michaelbloomberg
2020-02-20T03:21:41Z,check
2020-02-20T03:21:41Z,wealthy
2020-02-20T03:21:41Z,elite
2020-02-20T03:21:41Z,wealthy
2020-02-20T03:21:41Z,elite
2020-02-20T03:21:41Z,demdebate
2020-02-22T11:32:42Z,hope
2020-02-22T11:32:42Z,nevadacaucus
2020-02-22T11:32:42Z,michaelbloomberg
2020-02-22T11:32:42Z,buy
2020-02-22T11:32:42Z,democratparty
2020-02-22T11:32:42Z,nomination
2020-02-16T09:17:16Z,fuck
2020-02-16T09:17:16Z,michaelbloomberg
2020-02-16T09:17:16Z,democrat
2020-02-16T09:17:16Z,candidate
2020-02-16T09:17:16Z,marr
2020-02-20T03:39:30Z,michaelbloomberg
2020-02-20T03:39:30Z,allowed
2020-02-20T03:39:30Z,buy
2020-02-20T03:39:30Z,democratic
2020-02-20T03:39:30Z,ticket
2020-02-20T03:39:30Z,wrong
2020-02-20T03:39:30Z,wrong
2020-02-20T03:39:30Z,fucking
2020-02-20T03:39:30Z,wrong
2020-02-20T03:39:30Z,demdebate
2020-02-20T04:03:26Z,michaelbloomberg
2020-02-20T04:03:26Z,demdebate
2020-02-20T04:03:26Z,democraticdebate
2020-02-20T04:04:04Z,bye
2020-02-20T04:04:04Z,bye
2020-02-20T04:04:04Z,michaelbloomberg
2020-02-20T04:04:04Z,hope
2020-02-20T04:04:04Z,demdebate
2020-02-20T04:04:04Z,democraticdebate
2020-02-22T22:14:54Z,michaelbloomberg
2020-02-22T22:14:54Z,prezzo
2020-02-22T22:14:54Z,democrat
2020-02-22T22:14:54Z,nevadacaucuses
2020-02-20T03:32:48Z,healthcare
2020-02-20T03:32:48Z,human
2020-02-20T03:32:48Z,michaelbloomberg
2020-02-20T03:32:48Z,demdebate
2020-02-20T04:09:27Z,hey
2020-02-20T04:09:27Z,michaelbloomberg
2020-02-20T04:09:27Z,found
2020-02-20T04:09:27Z,takes
2020-02-20T04:09:27Z,buying
2020-02-20T04:09:27Z,debate
2020-02-20T04:09:27Z,ha
2020-02-20T04:09:27Z,ha
2020-02-20T04:09:27Z,demdebate
2020-02-20T04:09:27Z,democraticdebate
2020-02-20T03:23:57Z,michaelbloomberg
2020-02-20T03:23:57Z,giving
2020-02-20T03:23:57Z,money
2020-02-20T03:23:57Z,democraticparty
2020-02-20T03:23:57Z,onstage
2020-02-20T03:23:57Z,demdebate
2020-02-23T00:11:28Z,contest
2020-02-23T00:11:28Z,michaelbloomberg
2020-02-23T00:11:28Z,donaldtrump
2020-02-23T00:11:28Z,ideal
2020-02-23T00:11:28Z,showdown
2020-02-23T00:11:28Z,politics
2020-02-23T00:11:28Z,capitalist
2020-02-23T00:11:28Z,america
2020-02-23T00:11:28Z,billionaire
2020-02-23T00:11:28Z,bloomberg
2020-02-23T00:11:28Z,bring
2020-02-23T00:11:28Z,trump
2020-02-23T00:11:28Z,democraticdebates
2020-02-23T00:11:28Z,election2020
